,MoB,MoG,MoR,MeB,MeG,MeR,sdtB,stdG,stdR,MoB2,MoG2,MoR2,MeB2,MeG2,MeR2,sdtB2,stdG2,stdR2,hu1,hu2,hu3,hu4,hu5,hu6,hu7,Ncont,MinArea,MaxArea,ContConv,MinPer,MaxPeri,type,var2,var3,var
1,11.0,43.0,20.0,15.609934630375271,52.55173984559117,28.917639106356365,10.831466119141547,14.156018356948342,14.660466627413944,33.0,118.0,113.0,41.27480581720819,119.20324050543917,113.50875818218834,13.545328665932555,2.281940007946395,4.057275535195635,0.002036140175578208,3.8964894721830876e-07,1.9758911212659614e-09,4.603442628601841e-10,-4.077933212689114e-19,-2.3146263021278413e-13,1.6267168153015957e-19,10.0,1680.0,2.0,3.0,5.656854152679443,25850.065742254257,1.0,,,
2,15.0,71.0,34.0,20.31314519691726,78.43899537776362,42.6080004808,12.577629170993902,15.735803474321875,15.63145255235152,53.0,112.0,102.0,61.08633560152295,114.7895797527002,104.9919013298491,14.730574850281528,2.74439739066808,5.078848441991852,0.001944663649661092,1.6189891400328976e-07,2.3008641251544403e-09,5.549066571486265e-10,-6.699813034828565e-20,-1.3546440735904988e-13,6.234215741253716e-19,20.0,2416.0,0.5,4.0,5.656854152679443,34499.55322253704,1.0,,,
3,11.0,57.0,30.0,16.117764426057647,64.699429890318,36.972668271127596,11.728563015359533,15.078705613115899,14.88242216917099,45.0,117.0,107.0,50.86631237952452,118.06767621828185,108.38220246079968,14.151375748298838,2.0609852863667437,5.023452116278517,0.0018904667282924168,6.381743308322642e-09,8.479673757071908e-11,2.963300374976327e-10,4.67446751092184e-20,1.5268719015055954e-14,-4.631061330353848e-21,23.0,274292.5,12.0,4.0,39.071067690849304,10050.748944997787,1.0,,,
4,10.0,63.0,28.0,14.750943856794143,70.362788383301,36.79555736371034,11.723097784835698,14.500891514049417,14.69837849530662,46.0,114.0,106.0,53.977381235526074,115.73435876572573,105.86519684546536,13.826917339519564,1.9984629625421826,4.404476872213619,0.0015057833102714207,1.3286238066071692e-07,5.506063268662531e-10,7.395988546897424e-11,-6.774614806724944e-21,1.3517972999319283e-14,1.3298903664437922e-20,6.0,1632.5,2.0,0.0,232.7695516347885,22558.65326988697,1.0,,,
5,7.0,48.0,22.0,12.920143349135156,52.92700392756064,28.62240468897238,10.598902366183147,13.783047689607582,13.041981670614701,36.0,118.0,113.0,41.08995632205515,119.11796740502236,112.10053880444379,12.87481419384511,1.7997154046204065,3.6891804086920437,0.0016900598552617935,5.2972181377241713e-11,4.785276841759444e-10,7.139691986519961e-11,1.1240580237247296e-20,5.192093290684144e-16,-6.914346338217682e-21,2.0,1564.5,1141.0,0.0,21270.147796988487,24815.062433838844,1.0,,,
6,15.0,71.0,34.0,20.239476840532706,74.92743083032005,39.92003214966271,11.651255973886302,11.220574104454007,12.454426160949833,54.0,113.0,105.0,58.213245235214174,114.97343128453161,106.58386235970008,11.223963546721047,2.1220724007719087,3.345037533920623,0.0015567004217279148,7.922556246583321e-09,2.4030584422775154e-10,1.244236702634769e-10,2.1505781093471387e-20,5.3007118692694996e-15,-6.218083627769552e-22,5.0,533.5,17.0,0.0,737.5878738164902,14307.055159211159,1.0,,,
7,17.0,58.0,31.0,21.05210810763924,66.8946388018014,38.98901477797795,11.879448076919278,16.181153849043945,14.090948439813696,46.0,117.0,111.0,53.31865655337372,117.78369635399923,109.78606221832852,14.607135772682259,2.3629361565636096,4.550661502462918,0.001411776938771191,7.948221833218423e-08,2.1531088761364182e-10,8.664164503956252e-11,-9.974891081275242e-21,6.72568011971748e-15,6.367071508427331e-21,12.0,4951.0,4.5,1.0,2.0,23527.950394630432,1.0,,,
8,11.0,59.0,29.0,15.903081351822905,65.38180821505874,37.30513746581757,11.80376404677867,15.740255096575074,15.248683843796687,45.0,117.0,106.0,51.338552763882056,117.96724062861206,107.99834483449911,14.673300590172346,2.202937574970498,4.961974331631442,0.0019037874732058635,9.328162381407405e-09,7.148573609865063e-11,2.900115993092982e-10,4.130696668264774e-20,-1.5738063580545197e-14,6.116316945114932e-21,18.0,213695.0,14.5,1.0,43.45584332942963,10838.03235590458,1.0,,,
9,19.0,73.0,40.0,23.619593753378535,77.6113329657037,47.30688462435481,13.463645098578835,13.230484315251749,14.640946163885266,56.0,115.0,104.0,62.401877223031754,117.21121614923135,106.13825617077237,13.311214830627417,2.2670930595185177,3.403332727194877,0.0021421106352585524,2.3618210271167233e-07,6.994809729377137e-10,9.687498758250147e-11,1.177302942526035e-20,-1.5752197246146215e-14,2.230085378481618e-20,22.0,147412.5,1.0,5.0,7.656854152679443,11659.6040289402,1.0,,,
10,8.0,49.0,23.0,13.937869952636287,53.36811804594948,29.09460522907125,10.594457770040115,13.795643379704918,13.000197127817335,37.0,118.0,113.0,41.60424497483548,119.08085231873645,112.38182044802456,12.865813598800637,1.8329333122068916,3.6874679919779103,0.0016946738838013206,2.016012716533383e-09,4.3584738642754637e-10,7.514970723413024e-11,9.73990536569511e-21,-1.3132953698573975e-15,-9.492662660050267e-21,7.0,1227.5,11.0,0.0,122.18376505374908,25605.912290930748,1.0,,,
